,Name,Link
34,Suomi,https://fi.wikipedia.org/wiki/Oscar-gaala_2023
35,Svenska,https://sv.wikipedia.org/wiki/Oscarsgalan_2023
36,தமிழ்,https://ta.wikipedia.org/wiki/95%E0%AE%86%E0%AE%B5%E0%AE%A4%E0%AF%81_%E0%AE%85%E0%AE%95%E0%AE%BE%E0%AE%A4%E0%AE%AE%E0%AE%BF_%E0%AE%B5%E0%AE%BF%E0%AE%B0%E0%AF%81%E0%AE%A4%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D
37,తెలుగు,https://te.wikipedia.org/wiki/95%E0%B0%B5_%E0%B0%85%E0%B0%95%E0%B0%BE%E0%B0%A1%E0%B0%AE%E0%B1%80_%E0%B0%85%E0%B0%B5%E0%B0%BE%E0%B0%B0%E0%B1%8D%E0%B0%A1%E0%B1%8D%E0%B0%B8%E0%B1%8D
38,ไทย,https://th.wikipedia.org/wiki/%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%9C%E0%B8%A5%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%A5%E0%B8%AD%E0%B8%AD%E0%B8%AA%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%8C_%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B9%89%E0%B8%87%E0%B8%97%E0%B8%B5%E0%B9%88_95
39,Тоҷикӣ,https://tg.wikipedia.org/wiki/%D2%B6%D0%BE%D0%B8%D0%B7%D0%B0%D0%B8_%D0%9E%D1%81%D0%BA%D0%B0%D1%80_(2023)
40,Türkçe,https://tr.wikipedia.org/wiki/95._Akademi_%C3%96d%C3%BClleri
41,Українська,https://uk.wikipedia.org/wiki/%D0%9E%D1%81%D0%BA%D0%B0%D1%80_(95-%D1%82%D0%B0_%D1%86%D0%B5%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%96%D1%8F_%D0%B2%D1%80%D1%83%D1%87%D0%B5%D0%BD%D0%BD%D1%8F)
42,Tiếng Việt,https://vi.wikipedia.org/wiki/Gi%E1%BA%A3i_Oscar_l%E1%BA%A7n_th%E1%BB%A9_95
43,中文,https://zh.wikipedia.org/wiki/%E7%AC%AC95%E5%B1%86%E5%A5%A7%E6%96%AF%E5%8D%A1%E9%87%91%E5%83%8F%E7%8D%8E
44,Edit links,https://www.wikidata.org/wiki/Special:EntityPage/Q66707607#sitelinks-wikipedia
45,Wikidata item,https://www.wikidata.org/wiki/Special:EntityPage/Q66707607
46,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:2023_Academy_Awards
47,"""Everything we know about the 2023 Oscars — including celebrity presenters, performances, pre-shows, and more""",https://ew.com/awards/oscars/2023-oscars-everything-we-know/
48,Archived,https://web.archive.org/web/20230311013800/https://ew.com/awards/oscars/2023-oscars-everything-we-know/
